shop_name,lat,lon,opening_hours,website,phone,shop,craft,osm_id
,52.4304573,13.2597717,,,,bicycle,,10002270768
,52.5668941,13.3878656,,,,bicycle,,11111296895
,52.5514237,13.4147862,,,,bicycle,,11287224597
,52.5209144,13.1952237,,,,bicycle,,11453283887
,52.5499509,13.3624916,,,,bicycle,,12049858770
,52.5500895,13.3626631,,,,bicycle,,12310367705
,52.52495,13.3279541,,,,bicycle,,12765854486
,52.4816188,13.3797059,,,,bicycle,,5581097381
2Rad-Center Lichtenrade,52.3935762,13.4074832,,,,bicycle,,837792392
360Rad,52.4948866,13.3457023,,,,bicycle,,5957927985
8bar bikes,52.5110148,13.4156738,,,,bicycle,,4960259887
A. Horn Fahrräder,52.4958172,13.4055132,,,,bicycle,,5831637278
ACE! Cycles,52.4882267,13.3865294,,,,bicycle,,10029295782
ADFC Velokiez,52.4933653,13.3793312,,,,bicycle,,333419912
AKOB Another Kind Of Bikeshop,52.4890534,13.4029351,,,,bicycle,,11597346177
ATT,52.5196622,13.3518634,,,,bicycle,,13137872623
Aalrad,52.5280975,13.4096126,,,,bicycle,,1602162092
Adams Bikeshop,52.4171836,13.4132515,,,,bicycle,,623645935
Adlershofer Fahrradwelt,52.4398321,13.5537091,,,,bicycle,,1383533469
Ampler,52.4918599,13.3764367,,,,bicycle,,9344098863
Ampler Bikes,52.5345261,13.4157148,,,,bicycle,,7123933885
An- und Verkauf,52.5653874,13.3945121,,,,bicycle,,4812222796
Antrieb - Fahrräder und Service,52.5128486,13.4493816,,,,bicycle,,2114329029
Atze's Fahrradladen,52.4877522,13.526864,,,,bicycle,,1542431658
Auftragsrad,52.5661278,13.4641454,,,,bicycle,,7904678078
Aysa Rad,52.4902042,13.4345168,,,,bicycle,,454251016
BICICLI Cycling Concept Store,52.5126926,13.3898008,,,,bicycle,,5502810970
BMO Bike-Mailorder,52.5933023,13.4407044,,,,bicycle,,5317248444
Bad Bikes,52.4469249,13.3274547,,,,bicycle,,4366358665
Bali Bikes,52.4987272,13.3506175,,,,bicycle,,3826451965
Basic Bikes Berlin,52.4665844,13.3685079,,,,bicycle,,12026922369
Bici da Corsa,52.4693442,13.331165,,,,bicycle,,8176633044
Bicicleta,52.4776164,13.4255503,,,,bicycle,,466484781
Bike A-way,52.5235391,13.4490815,,,,bicycle,,7779429576
Bike Doctor,52.5450001,13.4287845,,,,bicycle,,6441397906
Bike Market City,52.4940075,13.3234096,,,,bicycle,,2183538441
Bike Mike,52.4746901,13.4235856,,,,bicycle,,4816663867
Bike Mobil Berlin,52.42019875,13.31134745,,,,bicycle,,139653298
Bike Piraten,52.5396694,13.4125789,,,,bicycle,,6313027826
Bike Punk,52.4917243,13.3821568,,,,bicycle,,2401587679
Bike Shop,52.4903255,13.3924263,,,,bicycle,,2086361727
Bike World,52.4910986,13.3907328,,,,bicycle,,4227784792
Bike-Werk,52.5733937,13.2165152,,,,bicycle,,5467475593
Bike:co:holics,52.4903154,13.4020907,,,,bicycle,,1082924067
BikeLine,52.4674698,13.3304123,,,,bicycle,,689153868
Bikecology,52.4861729,13.3513797,,,,bicycle,,4446403132
Bikefix - Alis Fahrradladen,52.4996849,13.4158216,,,,bicycle,,3058126653
Bikeopia,52.5220189,13.4511064,,,,bicycle,,13059427742
Biker'Shop,52.503669,13.41529,,,,bicycle,,869829178
Bikeshop Friesen,52.4884038,13.3946216,,,,bicycle,,13588248424
